Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Team,Goal_Difference,Result_Clean
2025-11-18,20:45 (14:45),WCQ,First round,Tue,Away,D,1.0,1.0,at Austria,30.0,48000.0,Edin Džeko,4-4-2,4-2-3-1,João Pinheiro,Match Report,,Bosnia and Herzegovina,0.0,Draw
2025-11-15,20:45 (14:45),WCQ,First round,Sat,Home,W,3.0,1.0,ro Romania,59.0,11459.0,Edin Džeko,4-2-3-1,4-3-3,Michael Oliver,Match Report,,Bosnia and Herzegovina,2.0,Win
2025-10-12,19:00 (12:00),Friendlies (M),Friendlies (M),Sun,Away,W,4.0,1.0,mt Malta,,1800.0,Amar Dedić,4-2-3-1,4-2-3-1,Vitālijs Spasjoņņikovs,Match Report,,Bosnia and Herzegovina,3.0,Win
2025-10-09,21:45 (13:45),WCQ,First round,Thu,Away,D,2.0,2.0,cy Cyprus,35.0,2355.0,Edin Džeko,4-3-3,4-3-3,Lawrence Visser,Match Report,,Bosnia and Herzegovina,0.0,Draw
2025-09-09,20:45 (13:45),WCQ,First round,Tue,Home,L,1.0,2.0,at Austria,42.0,11700.0,Edin Džeko,4-3-3,4-2-3-1,Jesús Gil,Match Report,,Bosnia and Herzegovina,-1.0,Loss
2025-09-06,20:45 (13:45),WCQ,First round,Sat,Away,W,6.0,0.0,sm San Marino,73.0,2740.0,Edin Džeko,4-3-3,4-3-2-1,Enea Jorgji,Match Report,,Bosnia and Herzegovina,6.0,Win
2025-06-10,18:00 (11:00),Friendlies (M),Friendlies (M),Tue,Away,L,1.0,2.0,si Slovenia,,12073.0,Amar Dedić,4-1-4-1,4-2-3-1,Nikola Dabanović,Match Report,,Bosnia and Herzegovina,-1.0,Loss
2025-06-07,15:00 (08:00),WCQ,First round,Sat,Home,W,1.0,0.0,sm San Marino,67.0,11828.0,Ermedin Demirović,4-3-3,4-3-3,Luís Godinho,Match Report,,Bosnia and Herzegovina,1.0,Win
2025-03-24,20:45 (14:45),WCQ,First round,Mon,Home,W,2.0,1.0,cy Cyprus,56.0,7464.0,Sead Kolašinac,4-3-3,4-5-1,Rohit Saggi,Match Report,,Bosnia and Herzegovina,1.0,Win
2025-03-21,21:45 (14:45),WCQ,First round,Fri,Away,W,1.0,0.0,ro Romania,34.0,49413.0,Edin Džeko,4-3-3,4-3-3,Danny Makkelie,Match Report,,Bosnia and Herzegovina,1.0,Win
2026-03-31,21:00 (20:00),Friendlies (M),Friendlies (M),Tue,Home,D,0.0,0.0,tn Tunisia,,22624.0,Jonathan David,4-2-2-2,4-2-3-1,Keylor Herrera,Match Report,,Canada,0.0,Draw
2026-03-28,13:20 (12:20),Friendlies (M),Friendlies (M),Sat,Home,D,2.0,2.0,is Iceland,,26328.0,Jonathan David,4-2-2-2,4-2-2-2,Jon Freemon,Match Report,,Canada,0.0,Draw
2025-11-18,20:30,Friendlies (M),Friendlies (M),Tue,Neutral,W,2.0,0.0,ve Venezuela,,,Stephen Eustáquio,4-2-2-2,4-2-3-1,Rubiel Vázquez,Match Report,,Canada,2.0,Win
2025-11-13,19:45,Friendlies (M),Friendlies (M),Thu,Home,D,0.0,0.0,ec Ecuador,,28740.0,Stephen Eustáquio,4-2-3-1,4-2-2-2,Fernando Hernández,Match Report,,Canada,0.0,Draw
2025-10-14,20:30 (19:30),Friendlies (M),Friendlies (M),Tue,Neutral,D,0.0,0.0,co Colombia,,,Stephen Eustáquio,4-2-2-2,4-2-3-1,Guido Gonzales Jr.,Match Report,,Canada,0.0,Draw
2025-10-10,19:30 (18:30),Friendlies (M),Friendlies (M),Fri,Home,L,0.0,1.0,au Australia,,19619.0,Jonathan David,4-2-3-1,5-4-1,Steven Madrigal,Match Report,,Canada,-1.0,Loss
2025-09-09,19:45 (13:45),Friendlies (M),Friendlies (M),Tue,Away,W,1.0,0.0,wls Wales,,15024.0,Jonathan David,4-2-2-2,4-2-3-1,Robert Jones,Match Report,,Canada,1.0,Win
2025-09-05,21:00 (13:00),Friendlies (M),Friendlies (M),Fri,Away,W,3.0,0.0,ro Romania,,29125.0,Stephen Eustáquio,4-2-2-2,4-2-3-1,Lothar D'Hondt,Match Report,,Canada,3.0,Win
2025-06-24,21:00,Gold Cup,Group stage,Tue,Neutral,W,2.0,0.0,sv El Salvador,80.0,19417.0,Jonathan David,4-2-2-2,4-1-4-1,Joe Dickerson,Match Report,,Canada,2.0,Win
2025-06-21,18:00,Gold Cup,Group stage,Sat,Neutral,D,1.0,1.0,cw Curaçao,52.0,20536.0,Jonathan David,4-2-3-1,4-2-3-1,Juan Gabriel Calderón,Match Report,,Canada,0.0,Draw
2025-10-14,20:00 (12:00),WCQ,Fourth round,Tue,Home,W,2.0,1.0,ae UAE,41.0,13038.0,Boualem Khoukhi,4-2-2-2,4-2-3-1,Ilgiz Tantashev,Match Report,,Qatar,1.0,Win
2025-10-08,18:00 (10:00),WCQ,Fourth round,Wed,Away,D,0.0,0.0,om Oman,70.0,12975.0,Boualem Khoukhi,4-2-3-1,4-1-4-1,Yūsuke Araki,Match Report,,Qatar,0.0,Draw
2025-09-07,18:15 (10:15),Friendlies (M),Friendlies (M),Sun,Home,L,1.0,4.0,ru Russia,,8953.0,Boualem Khoukhi,5-4-1,4-1-4-1,Yousif Saeed Hasan,Match Report,,Qatar,-3.0,Loss
2025-09-03,18:15 (10:15),Friendlies (M),Friendlies (M),Wed,Home,D,2.0,2.0,bh Bahrain,,,Abdulaziz Hatem,4-2-3-1,4-2-3-1,Khalid Saleh Al Turais,Match Report,,Qatar,0.0,Draw
2025-06-10,18:45 (08:45),WCQ,Third round,Tue,Away,L,0.0,3.0,uz Uzbekistan,39.0,32931.0,Akram Afif,4-2-3-1,4-2-3-1,Ma Ning,Match Report,,Qatar,-3.0,Loss
2025-06-05,21:15 (13:15),WCQ,Third round,Thu,Home,W,1.0,0.0,ir IR Iran,52.0,8925.0,Akram Afif,4-2-3-1,4-2-3-1,Mohammed Khaled Al Hoish,Match Report,,Qatar,1.0,Win
2025-03-25,19:45 (08:45),WCQ,Third round,Tue,Away,L,1.0,3.0,kg Kyrgyz Republic,55.0,12325.0,Abdulaziz Hatem,3-4-3,5-3-2,Nazmi Nasaruddin,Match Report,,Qatar,-2.0,Loss
2025-03-20,21:15 (13:15),WCQ,Third round,Thu,Home,W,5.0,1.0,kp Korea DPR,53.0,10375.0,Akram Afif,3-4-3,4-2-2-2,Mohanad Qasim Sarray,Match Report,,Qatar,4.0,Win
2024-11-19,20:00 (11:00),WCQ,Third round,Tue,Away,L,0.0,5.0,ae UAE,68.0,13825.0,Akram Afif,3-5-2,4-2-3-1,Khalid Saleh Al Turais,Match Report,,Qatar,-5.0,Loss
2024-11-14,19:15 (11:15),WCQ,Third round,Thu,Home,W,3.0,2.0,uz Uzbekistan,46.0,10759.0,Akram Afif,3-4-1-2,3-4-3,Kim Jonghyeok,Match Report,,Qatar,1.0,Win
2026-03-31,18:00 (11:00),Friendlies (M),Friendlies (M),Tue,Away,D,0.0,0.0,no Norway,,23913.0,Manuel Akanji,3-4-3,4-1-4-1,Jasper Vergoote,Match Report,,Switzerland,0.0,Draw
2026-03-27,20:45 (14:45),Friendlies (M),Friendlies (M),Fri,Home,L,3.0,4.0,de Germany,,37994.0,Granit Xhaka,4-1-4-1,4-1-4-1,Chris Kavanagh,Match Report,,Switzerland,-1.0,Loss
2025-11-18,20:45 (14:45),WCQ,First round,Tue,Away,D,1.0,1.0,xk Kosovo,53.0,11215.0,Granit Xhaka,4-3-3,5-3-2,Davide Massa,Match Report,,Switzerland,0.0,Draw
2025-11-15,20:45 (14:45),WCQ,First round,Sat,Home,W,4.0,1.0,se Sweden,59.0,26458.0,Granit Xhaka,4-2-3-1,4-4-2,Erik Lambrechts,Match Report,,Switzerland,3.0,Win
