Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Team
2025-11-18,20:45 (14:45),WCQ,First round,Tue,Away,D,1.0,1.0,at Austria,30.0,48000.0,Edin Džeko,4-4-2,4-2-3-1,João Pinheiro,Match Report,,Bosnia and Herzegovina
2025-11-15,20:45 (14:45),WCQ,First round,Sat,Home,W,3.0,1.0,ro Romania,59.0,11459.0,Edin Džeko,4-2-3-1,4-3-3,Michael Oliver,Match Report,,Bosnia and Herzegovina
2025-10-12,19:00 (12:00),Friendlies (M),Friendlies (M),Sun,Away,W,4.0,1.0,mt Malta,,1800.0,Amar Dedić,4-2-3-1,4-2-3-1,Vitālijs Spasjoņņikovs,Match Report,,Bosnia and Herzegovina
2025-10-09,21:45 (13:45),WCQ,First round,Thu,Away,D,2.0,2.0,cy Cyprus,35.0,2355.0,Edin Džeko,4-3-3,4-3-3,Lawrence Visser,Match Report,,Bosnia and Herzegovina
2025-09-09,20:45 (13:45),WCQ,First round,Tue,Home,L,1.0,2.0,at Austria,42.0,11700.0,Edin Džeko,4-3-3,4-2-3-1,Jesús Gil,Match Report,,Bosnia and Herzegovina
2025-09-06,20:45 (13:45),WCQ,First round,Sat,Away,W,6.0,0.0,sm San Marino,73.0,2740.0,Edin Džeko,4-3-3,4-3-2-1,Enea Jorgji,Match Report,,Bosnia and Herzegovina
2025-06-10,18:00 (11:00),Friendlies (M),Friendlies (M),Tue,Away,L,1.0,2.0,si Slovenia,,12073.0,Amar Dedić,4-1-4-1,4-2-3-1,Nikola Dabanović,Match Report,,Bosnia and Herzegovina
2025-06-07,15:00 (08:00),WCQ,First round,Sat,Home,W,1.0,0.0,sm San Marino,67.0,11828.0,Ermedin Demirović,4-3-3,4-3-3,Luís Godinho,Match Report,,Bosnia and Herzegovina
2025-03-24,20:45 (14:45),WCQ,First round,Mon,Home,W,2.0,1.0,cy Cyprus,56.0,7464.0,Sead Kolašinac,4-3-3,4-5-1,Rohit Saggi,Match Report,,Bosnia and Herzegovina
2025-03-21,21:45 (14:45),WCQ,First round,Fri,Away,W,1.0,0.0,ro Romania,34.0,49413.0,Edin Džeko,4-3-3,4-3-3,Danny Makkelie,Match Report,,Bosnia and Herzegovina
