Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Team
2026-03-31,20:00 (19:00),Friendlies (M),Friendlies (M),Tue,Neutral,W,3.0,1.0,hr Croatia,,46398.0,Marquinhos,4-2-2-2,3-4-3,Armando Villarreal,Match Report,,Brazil
2026-03-26,16:00 (15:00),Friendlies (M),Friendlies (M),Thu,Neutral,L,1.0,2.0,fr France,,66215.0,Casemiro,4-2-2-2,4-2-3-1,Guido Gonzales Jr.,Match Report,,Brazil
2025-11-18,20:30 (14:30),Friendlies (M),Friendlies (M),Tue,Neutral,D,1.0,1.0,tn Tunisia,,,Marquinhos,4-2-3-1,5-3-2,Jérôme Brisard,Match Report,,Brazil
2025-11-15,16:00 (11:00),Friendlies (M),Friendlies (M),Sat,Neutral,W,2.0,0.0,sn Senegal,,58657.0,Marquinhos,4-2-3-1,4-2-3-1,Jarred Gillett,Match Report,,Brazil
2025-10-14,19:30 (05:30),Friendlies (M),Friendlies (M),Tue,Away,L,2.0,3.0,jp Japan,,44920.0,Casemiro,4-1-4-1,3-4-3,Kim Jonghyeok,Match Report,,Brazil
2025-10-10,20:00 (06:00),Friendlies (M),Friendlies (M),Fri,Away,W,5.0,0.0,kr Korea Republic,,63237.0,Casemiro,4-2-3-1,3-4-3,Abdulrahman Ibrahim Al Jassim,Match Report,,Brazil
2025-09-09,19:30 (18:30),WCQ,World Cup qualification,Tue,Away,L,0.0,1.0,bo Bolivia,58.0,,Alisson,4-3-3,4-3-3,Cristián Garay,Match Report,,Brazil
2025-09-04,21:30 (19:30),WCQ,World Cup qualification,Thu,Home,W,3.0,0.0,cl Chile,64.0,,Marquinhos,4-2-3-1,3-4-3,Alexis Herrera,Match Report,,Brazil
2025-06-10,21:45 (19:45),WCQ,World Cup qualification,Tue,Home,W,1.0,0.0,py Paraguay,73.0,,Marquinhos,4-2-3-1,4-2-3-1,Facundo Tello,Match Report,,Brazil
2025-06-05,18:00,WCQ,World Cup qualification,Thu,Away,D,0.0,0.0,ec Ecuador,48.0,,Marquinhos,4-3-3,4-4-2,Piero Maza,Match Report,,Brazil
