Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Team
2026-03-31,21:00 (20:00),Friendlies (M),Friendlies (M),Tue,Home,D,0.0,0.0,tn Tunisia,,22624.0,Jonathan David,4-2-2-2,4-2-3-1,Keylor Herrera,Match Report,,Canada
2026-03-28,13:20 (12:20),Friendlies (M),Friendlies (M),Sat,Home,D,2.0,2.0,is Iceland,,26328.0,Jonathan David,4-2-2-2,4-2-2-2,Jon Freemon,Match Report,,Canada
2025-11-18,20:30,Friendlies (M),Friendlies (M),Tue,Neutral,W,2.0,0.0,ve Venezuela,,,Stephen Eustáquio,4-2-2-2,4-2-3-1,Rubiel Vázquez,Match Report,,Canada
2025-11-13,19:45,Friendlies (M),Friendlies (M),Thu,Home,D,0.0,0.0,ec Ecuador,,28740.0,Stephen Eustáquio,4-2-3-1,4-2-2-2,Fernando Hernández,Match Report,,Canada
2025-10-14,20:30 (19:30),Friendlies (M),Friendlies (M),Tue,Neutral,D,0.0,0.0,co Colombia,,,Stephen Eustáquio,4-2-2-2,4-2-3-1,Guido Gonzales Jr.,Match Report,,Canada
2025-10-10,19:30 (18:30),Friendlies (M),Friendlies (M),Fri,Home,L,0.0,1.0,au Australia,,19619.0,Jonathan David,4-2-3-1,5-4-1,Steven Madrigal,Match Report,,Canada
2025-09-09,19:45 (13:45),Friendlies (M),Friendlies (M),Tue,Away,W,1.0,0.0,wls Wales,,15024.0,Jonathan David,4-2-2-2,4-2-3-1,Robert Jones,Match Report,,Canada
2025-09-05,21:00 (13:00),Friendlies (M),Friendlies (M),Fri,Away,W,3.0,0.0,ro Romania,,29125.0,Stephen Eustáquio,4-2-2-2,4-2-3-1,Lothar D'Hondt,Match Report,,Canada
2025-06-24,21:00,Gold Cup,Group stage,Tue,Neutral,W,2.0,0.0,sv El Salvador,80.0,19417.0,Jonathan David,4-2-2-2,4-1-4-1,Joe Dickerson,Match Report,,Canada
2025-06-21,18:00,Gold Cup,Group stage,Sat,Neutral,D,1.0,1.0,cw Curaçao,52.0,20536.0,Jonathan David,4-2-3-1,4-2-3-1,Juan Gabriel Calderón,Match Report,,Canada
