Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Team
2026-03-31,20:00,Friendlies (M),Friendlies (M),Tue,Neutral,D,1.0,1.0,be Belgium,,52412.0,César Montes,4-2-3-1,4-2-3-1,Rosendo Mendoza,Match Report,,Mexico
2026-03-28,19:00 (20:00),Friendlies (M),Friendlies (M),Sat,Home,D,0.0,0.0,pt Portugal,,84130.0,César Montes,4-1-4-1,4-2-3-1,Walter López,Match Report,,Mexico
2025-11-18,19:30 (20:30),Friendlies (M),Friendlies (M),Tue,Neutral,L,1.0,2.0,py Paraguay,,28076.0,Edson Álvarez,4-1-4-1,4-2-3-1,Joe Dickerson,Match Report,,Mexico
2025-11-15,19:00 (20:00),Friendlies (M),Friendlies (M),Sat,Home,D,0.0,0.0,uy Uruguay,,,Edson Álvarez,4-1-4-1,4-1-4-1,Fernando Morón,Match Report,,Mexico
2025-10-14,20:30 (21:30),Friendlies (M),Friendlies (M),Tue,Home,D,1.0,1.0,ec Ecuador,,41235.0,César Montes,4-1-4-1,4-1-4-1,Juan Gabriel Calderón,Match Report,,Mexico
2025-10-11,20:00,Friendlies (M),Friendlies (M),Sat,Neutral,L,0.0,4.0,co Colombia,,72438.0,César Montes,4-2-3-1,4-2-3-1,Ismail Elfath,Match Report,,Mexico
2025-09-09,20:30,Friendlies (M),Friendlies (M),Tue,Neutral,D,2.0,2.0,kr Korea Republic,,27604.0,Johan Vásquez,4-1-4-1,5-4-1,Guido Gonzalez,Match Report,,Mexico
2025-09-06,19:00 (21:00),Friendlies (M),Friendlies (M),Sat,Neutral,D,0.0,0.0,jp Japan,,45278.0,Edson Álvarez,4-2-3-1,3-4-3,Rubiel Vázquez,Match Report,,Mexico
2025-07-06,18:00,Gold Cup,Final,Sun,Neutral,W,2.0,1.0,us United States,60.0,70925.0,Edson Álvarez,4-3-3,4-2-3-1,Mario Escobar,Match Report,,Mexico
2025-07-02,19:00 (21:00),Gold Cup,Semi-finals,Wed,Neutral,W,1.0,0.0,hn Honduras,56.0,70975.0,Edson Álvarez,4-3-3,4-4-2,Juan Gabriel Calderón,Match Report,,Mexico
