Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Team
2025-10-14,20:00 (12:00),WCQ,Fourth round,Tue,Home,W,2.0,1.0,ae UAE,41.0,13038.0,Boualem Khoukhi,4-2-2-2,4-2-3-1,Ilgiz Tantashev,Match Report,,Qatar
2025-10-08,18:00 (10:00),WCQ,Fourth round,Wed,Away,D,0.0,0.0,om Oman,70.0,12975.0,Boualem Khoukhi,4-2-3-1,4-1-4-1,Yūsuke Araki,Match Report,,Qatar
2025-09-07,18:15 (10:15),Friendlies (M),Friendlies (M),Sun,Home,L,1.0,4.0,ru Russia,,8953.0,Boualem Khoukhi,5-4-1,4-1-4-1,Yousif Saeed Hasan,Match Report,,Qatar
2025-09-03,18:15 (10:15),Friendlies (M),Friendlies (M),Wed,Home,D,2.0,2.0,bh Bahrain,,,Abdulaziz Hatem,4-2-3-1,4-2-3-1,Khalid Saleh Al Turais,Match Report,,Qatar
2025-06-10,18:45 (08:45),WCQ,Third round,Tue,Away,L,0.0,3.0,uz Uzbekistan,39.0,32931.0,Akram Afif,4-2-3-1,4-2-3-1,Ma Ning,Match Report,,Qatar
2025-06-05,21:15 (13:15),WCQ,Third round,Thu,Home,W,1.0,0.0,ir IR Iran,52.0,8925.0,Akram Afif,4-2-3-1,4-2-3-1,Mohammed Khaled Al Hoish,Match Report,,Qatar
2025-03-25,19:45 (08:45),WCQ,Third round,Tue,Away,L,1.0,3.0,kg Kyrgyz Republic,55.0,12325.0,Abdulaziz Hatem,3-4-3,5-3-2,Nazmi Nasaruddin,Match Report,,Qatar
2025-03-20,21:15 (13:15),WCQ,Third round,Thu,Home,W,5.0,1.0,kp Korea DPR,53.0,10375.0,Akram Afif,3-4-3,4-2-2-2,Mohanad Qasim Sarray,Match Report,,Qatar
2024-11-19,20:00 (11:00),WCQ,Third round,Tue,Away,L,0.0,5.0,ae UAE,68.0,13825.0,Akram Afif,3-5-2,4-2-3-1,Khalid Saleh Al Turais,Match Report,,Qatar
2024-11-14,19:15 (11:15),WCQ,Third round,Thu,Home,W,3.0,2.0,uz Uzbekistan,46.0,10759.0,Akram Afif,3-4-1-2,3-4-3,Kim Jonghyeok,Match Report,,Qatar
