Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Team
2026-03-31,19:30 (13:30),Friendlies (M),Friendlies (M),Tue,Neutral,L,0.0,1.0,ci Côte d'Ivoire,,33034.0,Andrew Robertson,3-4-1-2,4-2-3-1,Daniel Elder,Match Report,,Scotland
2026-03-28,17:00 (12:00),Friendlies (M),Friendlies (M),Sat,Home,L,0.0,1.0,jp Japan,,44644.0,Andrew Robertson,4-2-3-1,3-4-3,Shaun Evans,Match Report,,Scotland
2025-11-18,19:45 (14:45),WCQ,First round,Tue,Home,W,4.0,2.0,dk Denmark,30.0,49587.0,Andrew Robertson,4-1-4-1,4-2-3-1,Szymon Marciniak,Match Report,,Scotland
2025-11-15,21:45 (14:45),WCQ,First round,Sat,Away,L,2.0,3.0,gr Greece,51.0,18405.0,Andrew Robertson,4-2-3-1,4-2-3-1,Jesús Gil,Match Report,,Scotland
2025-10-12,17:00 (11:00),WCQ,First round,Sun,Home,W,2.0,1.0,by Belarus,55.0,49346.0,Andrew Robertson,4-2-3-1,4-4-1-1,Marian Barbu,Match Report,,Scotland
2025-10-09,19:45 (13:45),WCQ,First round,Thu,Home,W,3.0,1.0,gr Greece,33.0,46006.0,Andrew Robertson,4-3-3,4-2-3-1,Espen Eskås,Match Report,,Scotland
2025-09-08,21:45 (13:45),WCQ,First round,Mon,Away,W,2.0,0.0,by Belarus,73.0,,Andrew Robertson,4-3-1-2,5-3-2,Nikola Dabanović,Match Report,,Scotland
2025-09-05,20:45 (13:45),WCQ,First round,Fri,Away,D,0.0,0.0,dk Denmark,27.0,35369.0,Andrew Robertson,4-2-3-1,4-4-1-1,Daniel Siebert,Match Report,,Scotland
2025-06-09,18:00 (11:00),Friendlies (M),Friendlies (M),Mon,Away,W,4.0,0.0,li Liechtenstein,,4036.0,Andrew Robertson,4-2-2-2,3-5-2,Julian Weinberger,Match Report,,Scotland
2025-06-06,19:45 (13:45),Friendlies (M),Friendlies (M),Fri,Home,L,1.0,3.0,is Iceland,,32797.0,Andrew Robertson,5-4-1,4-2-3-1,Granit Maqedonci,Match Report,,Scotland
