Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Team
2026-03-31,19:30 (12:30),Friendlies (M),Friendlies (M),Tue,Home,L,1.0,2.0,pa Panama,,,Ronwen Williams,4-2-3-1,3-4-3,Thabang Ketshabile,Match Report,,South Africa
2026-03-27,19:00 (12:00),Friendlies (M),Friendlies (M),Fri,Home,D,1.0,1.0,pa Panama,,,Ronwen Williams,4-2-3-1,5-4-1,Thabang Ketshabile,Match Report,,South Africa
2025-10-14,18:00 (11:00),WCQ,First round,Tue,Home,W,3.0,0.0,rw Rwanda,,,Ronwen Williams,4-2-3-1,4-1-4-1,Mehrez Melki,Match Report,,South Africa
2025-10-10,18:00 (11:00),WCQ,First round,Fri,Neutral,D,0.0,0.0,zw Zimbabwe,,,Ronwen Williams,4-2-3-1,4-2-3-1,Mustapha Ghorbal,Match Report,,South Africa
2025-09-09,18:00 (11:00),WCQ,First round,Tue,Home,D,1.0,1.0,ng Nigeria,,,Ronwen Williams,4-2-3-1,4-3-1-2,Pierre Ghislain Atcho,Match Report,,South Africa
2025-09-05,18:00 (11:00),WCQ,First round,Fri,Neutral,W,3.0,0.0,ls Lesotho,,,Ronwen Williams,4-2-3-1,4-1-4-1,Dickens Mimisa,Match Report,,South Africa
2025-03-25,16:00 (11:00),WCQ,First round,Tue,Neutral,W,2.0,0.0,bj Benin,,,Ronwen Williams,4-2-3-1,4-2-3-1,Dahane Beida,Match Report,,South Africa
2025-03-21,18:00 (11:00),WCQ,First round,Fri,Home,L,0.0,3.0,ls Lesotho,,,Ronwen Williams,4-2-3-1,4-2-3-1,Mohamed Diraneh Guedi,Match Report,Match awarded to Lesotho,South Africa
2024-06-11,18:00 (11:00),WCQ,First round,Tue,Home,W,3.0,1.0,zw Zimbabwe,,,Ronwen Williams,4-2-2-2,3-4-3,Mohamed Maarouf,Match Report,,South Africa
2024-06-07,20:00 (14:00),WCQ,First round,Fri,Away,D,1.0,1.0,ng Nigeria,,,Ronwen Williams,4-2-2-2,4-2-3-1,Alhadj Allaou Mahamat,Match Report,,South Africa
