Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Opp Formation,Referee,Match Report,Notes,Team
2026-03-31,18:00 (11:00),Friendlies (M),Friendlies (M),Tue,Away,D,0.0,0.0,no Norway,,23913.0,Manuel Akanji,3-4-3,4-1-4-1,Jasper Vergoote,Match Report,,Switzerland
2026-03-27,20:45 (14:45),Friendlies (M),Friendlies (M),Fri,Home,L,3.0,4.0,de Germany,,37994.0,Granit Xhaka,4-1-4-1,4-1-4-1,Chris Kavanagh,Match Report,,Switzerland
2025-11-18,20:45 (14:45),WCQ,First round,Tue,Away,D,1.0,1.0,xk Kosovo,53.0,11215.0,Granit Xhaka,4-3-3,5-3-2,Davide Massa,Match Report,,Switzerland
2025-11-15,20:45 (14:45),WCQ,First round,Sat,Home,W,4.0,1.0,se Sweden,59.0,26458.0,Granit Xhaka,4-2-3-1,4-4-2,Erik Lambrechts,Match Report,,Switzerland
2025-10-13,20:45 (13:45),WCQ,First round,Mon,Away,D,0.0,0.0,si Slovenia,65.0,14637.0,Granit Xhaka,4-3-3,5-4-1,Felix Zwayer,Match Report,,Switzerland
2025-10-10,20:45 (13:45),WCQ,First round,Fri,Away,W,2.0,0.0,se Sweden,60.0,50151.0,Granit Xhaka,4-3-3,3-5-2,Anthony Taylor,Match Report,,Switzerland
2025-09-08,20:45 (13:45),WCQ,First round,Mon,Home,W,3.0,0.0,si Slovenia,65.0,12757.0,Granit Xhaka,4-3-3,4-4-2,François Letexier,Match Report,,Switzerland
2025-09-05,20:45 (13:45),WCQ,First round,Fri,Home,W,4.0,0.0,xk Kosovo,63.0,33996.0,Granit Xhaka,4-3-3,4-3-3,Szymon Marciniak,Match Report,,Switzerland
2025-06-10,19:07,Friendlies (M),Friendlies (M),Tue,Away,W,4.0,0.0,us United States,,20602.0,Granit Xhaka,4-2-3-1,4-2-3-1,Andrew Samuel,Match Report,,Switzerland
2025-06-07,14:00 (15:00),Friendlies (M),Friendlies (M),Sat,Neutral,W,4.0,2.0,mx Mexico,,41508.0,Granit Xhaka,4-1-4-1,4-2-2-2,Víctor Rivas,Match Report,,Switzerland
